,puntos_turisticos,viajeros_y_pernoctaciones,residencia,periodo,total
15856,08270 Sitges,Viajero,Residentes en Espa̱a,2005M06,
15857,08270 Sitges,Viajero,Residentes en Espa̱a,2005M05,
15858,08270 Sitges,Viajero,Residentes en Espa̱a,2005M04,
15859,08270 Sitges,Viajero,Residentes en Espa̱a,2005M03,
15860,08270 Sitges,Viajero,Residentes en Espa̱a,2005M02,
15861,08270 Sitges,Viajero,Residentes en Espa̱a,2005M01,
15873,08270 Sitges,Viajero,Residentes en el Extranjero,2021M03,
15874,08270 Sitges,Viajero,Residentes en el Extranjero,2021M02,
15876,08270 Sitges,Viajero,Residentes en el Extranjero,2020M12,
15877,08270 Sitges,Viajero,Residentes en el Extranjero,2020M11,
15936,08270 Sitges,Viajero,Residentes en el Extranjero,2015M12,
15937,08270 Sitges,Viajero,Residentes en el Extranjero,2015M11,
15938,08270 Sitges,Viajero,Residentes en el Extranjero,2015M10,
15939,08270 Sitges,Viajero,Residentes en el Extranjero,2015M09,
15940,08270 Sitges,Viajero,Residentes en el Extranjero,2015M08,
15941,08270 Sitges,Viajero,Residentes en el Extranjero,2015M07,
15942,08270 Sitges,Viajero,Residentes en el Extranjero,2015M06,
15943,08270 Sitges,Viajero,Residentes en el Extranjero,2015M05,
15944,08270 Sitges,Viajero,Residentes en el Extranjero,2015M04,
15945,08270 Sitges,Viajero,Residentes en el Extranjero,2015M03,
15946,08270 Sitges,Viajero,Residentes en el Extranjero,2015M02,
15947,08270 Sitges,Viajero,Residentes en el Extranjero,2015M01,
15948,08270 Sitges,Viajero,Residentes en el Extranjero,2014M12,
15949,08270 Sitges,Viajero,Residentes en el Extranjero,2014M11,
15950,08270 Sitges,Viajero,Residentes en el Extranjero,2014M10,
15951,08270 Sitges,Viajero,Residentes en el Extranjero,2014M09,
15952,08270 Sitges,Viajero,Residentes en el Extranjero,2014M08,
15953,08270 Sitges,Viajero,Residentes en el Extranjero,2014M07,
15954,08270 Sitges,Viajero,Residentes en el Extranjero,2014M06,
15955,08270 Sitges,Viajero,Residentes en el Extranjero,2014M05,
15956,08270 Sitges,Viajero,Residentes en el Extranjero,2014M04,
15957,08270 Sitges,Viajero,Residentes en el Extranjero,2014M03,
15958,08270 Sitges,Viajero,Residentes en el Extranjero,2014M02,
15959,08270 Sitges,Viajero,Residentes en el Extranjero,2014M01,
15960,08270 Sitges,Viajero,Residentes en el Extranjero,2013M12,
15961,08270 Sitges,Viajero,Residentes en el Extranjero,2013M11,
15962,08270 Sitges,Viajero,Residentes en el Extranjero,2013M10,
15963,08270 Sitges,Viajero,Residentes en el Extranjero,2013M09,
15964,08270 Sitges,Viajero,Residentes en el Extranjero,2013M08,
15965,08270 Sitges,Viajero,Residentes en el Extranjero,2013M07,
15966,08270 Sitges,Viajero,Residentes en el Extranjero,2013M06,
15967,08270 Sitges,Viajero,Residentes en el Extranjero,2013M05,
15968,08270 Sitges,Viajero,Residentes en el Extranjero,2013M04,
15969,08270 Sitges,Viajero,Residentes en el Extranjero,2013M03,
15970,08270 Sitges,Viajero,Residentes en el Extranjero,2013M02,
15971,08270 Sitges,Viajero,Residentes en el Extranjero,2013M01,
15972,08270 Sitges,Viajero,Residentes en el Extranjero,2012M12,
15973,08270 Sitges,Viajero,Residentes en el Extranjero,2012M11,
15974,08270 Sitges,Viajero,Residentes en el Extranjero,2012M10,
15975,08270 Sitges,Viajero,Residentes en el Extranjero,2012M09,
15976,08270 Sitges,Viajero,Residentes en el Extranjero,2012M08,
15977,08270 Sitges,Viajero,Residentes en el Extranjero,2012M07,
15978,08270 Sitges,Viajero,Residentes en el Extranjero,2012M06,
15979,08270 Sitges,Viajero,Residentes en el Extranjero,2012M05,
15980,08270 Sitges,Viajero,Residentes en el Extranjero,2012M04,
15981,08270 Sitges,Viajero,Residentes en el Extranjero,2012M03,
15982,08270 Sitges,Viajero,Residentes en el Extranjero,2012M02,
15983,08270 Sitges,Viajero,Residentes en el Extranjero,2012M01,
15984,08270 Sitges,Viajero,Residentes en el Extranjero,2011M12,
15985,08270 Sitges,Viajero,Residentes en el Extranjero,2011M11,
15986,08270 Sitges,Viajero,Residentes en el Extranjero,2011M10,
15987,08270 Sitges,Viajero,Residentes en el Extranjero,2011M09,
15988,08270 Sitges,Viajero,Residentes en el Extranjero,2011M08,
15989,08270 Sitges,Viajero,Residentes en el Extranjero,2011M07,
15990,08270 Sitges,Viajero,Residentes en el Extranjero,2011M06,
15991,08270 Sitges,Viajero,Residentes en el Extranjero,2011M05,
15992,08270 Sitges,Viajero,Residentes en el Extranjero,2011M04,
15993,08270 Sitges,Viajero,Residentes en el Extranjero,2011M03,
15994,08270 Sitges,Viajero,Residentes en el Extranjero,2011M02,
15995,08270 Sitges,Viajero,Residentes en el Extranjero,2011M01,
15996,08270 Sitges,Viajero,Residentes en el Extranjero,2010M12,
15997,08270 Sitges,Viajero,Residentes en el Extranjero,2010M11,
15998,08270 Sitges,Viajero,Residentes en el Extranjero,2010M10,
15999,08270 Sitges,Viajero,Residentes en el Extranjero,2010M09,
16000,08270 Sitges,Viajero,Residentes en el Extranjero,2010M08,
16001,08270 Sitges,Viajero,Residentes en el Extranjero,2010M07,
16002,08270 Sitges,Viajero,Residentes en el Extranjero,2010M06,
16003,08270 Sitges,Viajero,Residentes en el Extranjero,2010M05,
16004,08270 Sitges,Viajero,Residentes en el Extranjero,2010M04,
16005,08270 Sitges,Viajero,Residentes en el Extranjero,2010M03,
16006,08270 Sitges,Viajero,Residentes en el Extranjero,2010M02,
16007,08270 Sitges,Viajero,Residentes en el Extranjero,2010M01,
16008,08270 Sitges,Viajero,Residentes en el Extranjero,2009M12,
16009,08270 Sitges,Viajero,Residentes en el Extranjero,2009M11,
16010,08270 Sitges,Viajero,Residentes en el Extranjero,2009M10,
16011,08270 Sitges,Viajero,Residentes en el Extranjero,2009M09,
16012,08270 Sitges,Viajero,Residentes en el Extranjero,2009M08,
16013,08270 Sitges,Viajero,Residentes en el Extranjero,2009M07,
16014,08270 Sitges,Viajero,Residentes en el Extranjero,2009M06,
16015,08270 Sitges,Viajero,Residentes en el Extranjero,2009M05,
16016,08270 Sitges,Viajero,Residentes en el Extranjero,2009M04,
16017,08270 Sitges,Viajero,Residentes en el Extranjero,2009M03,
16018,08270 Sitges,Viajero,Residentes en el Extranjero,2009M02,
16019,08270 Sitges,Viajero,Residentes en el Extranjero,2009M01,
16020,08270 Sitges,Viajero,Residentes en el Extranjero,2008M12,
16021,08270 Sitges,Viajero,Residentes en el Extranjero,2008M11,
16022,08270 Sitges,Viajero,Residentes en el Extranjero,2008M10,
16023,08270 Sitges,Viajero,Residentes en el Extranjero,2008M09,
16024,08270 Sitges,Viajero,Residentes en el Extranjero,2008M08,
16025,08270 Sitges,Viajero,Residentes en el Extranjero,2008M07,
16026,08270 Sitges,Viajero,Residentes en el Extranjero,2008M06,
16027,08270 Sitges,Viajero,Residentes en el Extranjero,2008M05,
16028,08270 Sitges,Viajero,Residentes en el Extranjero,2008M04,
16029,08270 Sitges,Viajero,Residentes en el Extranjero,2008M03,
16030,08270 Sitges,Viajero,Residentes en el Extranjero,2008M02,
16031,08270 Sitges,Viajero,Residentes en el Extranjero,2008M01,
16032,08270 Sitges,Viajero,Residentes en el Extranjero,2007M12,
16033,08270 Sitges,Viajero,Residentes en el Extranjero,2007M11,
16034,08270 Sitges,Viajero,Residentes en el Extranjero,2007M10,
16035,08270 Sitges,Viajero,Residentes en el Extranjero,2007M09,
16036,08270 Sitges,Viajero,Residentes en el Extranjero,2007M08,
16037,08270 Sitges,Viajero,Residentes en el Extranjero,2007M07,
16038,08270 Sitges,Viajero,Residentes en el Extranjero,2007M06,
16039,08270 Sitges,Viajero,Residentes en el Extranjero,2007M05,
16040,08270 Sitges,Viajero,Residentes en el Extranjero,2007M04,
16041,08270 Sitges,Viajero,Residentes en el Extranjero,2007M03,
16042,08270 Sitges,Viajero,Residentes en el Extranjero,2007M02,
16043,08270 Sitges,Viajero,Residentes en el Extranjero,2007M01,
16044,08270 Sitges,Viajero,Residentes en el Extranjero,2006M12,
16045,08270 Sitges,Viajero,Residentes en el Extranjero,2006M11,
16046,08270 Sitges,Viajero,Residentes en el Extranjero,2006M10,
16047,08270 Sitges,Viajero,Residentes en el Extranjero,2006M09,
16048,08270 Sitges,Viajero,Residentes en el Extranjero,2006M08,
16049,08270 Sitges,Viajero,Residentes en el Extranjero,2006M07,
16050,08270 Sitges,Viajero,Residentes en el Extranjero,2006M06,
16051,08270 Sitges,Viajero,Residentes en el Extranjero,2006M05,
16052,08270 Sitges,Viajero,Residentes en el Extranjero,2006M04,
16053,08270 Sitges,Viajero,Residentes en el Extranjero,2006M03,
16054,08270 Sitges,Viajero,Residentes en el Extranjero,2006M02,
16055,08270 Sitges,Viajero,Residentes en el Extranjero,2006M01,
16056,08270 Sitges,Viajero,Residentes en el Extranjero,2005M12,
16057,08270 Sitges,Viajero,Residentes en el Extranjero,2005M11,
16058,08270 Sitges,Viajero,Residentes en el Extranjero,2005M10,
16059,08270 Sitges,Viajero,Residentes en el Extranjero,2005M09,
16060,08270 Sitges,Viajero,Residentes en el Extranjero,2005M08,
16061,08270 Sitges,Viajero,Residentes en el Extranjero,2005M07,
16062,08270 Sitges,Viajero,Residentes en el Extranjero,2005M06,
16063,08270 Sitges,Viajero,Residentes en el Extranjero,2005M05,
16064,08270 Sitges,Viajero,Residentes en el Extranjero,2005M04,
16065,08270 Sitges,Viajero,Residentes en el Extranjero,2005M03,
16066,08270 Sitges,Viajero,Residentes en el Extranjero,2005M02,
16067,08270 Sitges,Viajero,Residentes en el Extranjero,2005M01,
16079,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2021M03,
16080,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2021M02,
16082,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2020M12,
16083,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2020M11,
16142,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2015M12,
16143,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2015M11,
16144,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2015M10,
16145,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2015M09,
16146,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2015M08,
16147,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2015M07,
16148,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2015M06,
16149,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2015M05,
16150,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2015M04,
16151,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2015M03,
16152,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2015M02,
16153,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2015M01,
16154,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2014M12,
16155,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2014M11,
16156,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2014M10,
16157,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2014M09,
16158,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2014M08,
16159,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2014M07,
16160,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2014M06,
16161,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2014M05,
16162,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2014M04,
16163,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2014M03,
16164,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2014M02,
16165,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2014M01,
16166,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2013M12,
16167,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2013M11,
16168,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2013M10,
16169,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2013M09,
16170,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2013M08,
16171,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2013M07,
16172,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2013M06,
16173,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2013M05,
16174,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2013M04,
16175,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2013M03,
16176,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2013M02,
16177,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2013M01,
16178,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2012M12,
16179,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2012M11,
16180,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2012M10,
16181,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2012M09,
16182,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2012M08,
16183,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2012M07,
16184,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2012M06,
16185,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2012M05,
16186,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2012M04,
16187,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2012M03,
16188,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2012M02,
16189,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2012M01,
16190,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2011M12,
16191,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2011M11,
16192,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2011M10,
16193,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2011M09,
16194,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2011M08,
16195,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2011M07,
16196,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2011M06,
16197,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2011M05,
16198,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2011M04,
16199,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2011M03,
16200,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2011M02,
16201,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2011M01,
16202,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2010M12,
16203,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2010M11,
16204,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2010M10,
16205,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2010M09,
16206,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2010M08,
16207,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2010M07,
16208,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2010M06,
16209,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2010M05,
16210,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2010M04,
16211,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2010M03,
16212,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2010M02,
16213,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2010M01,
16214,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2009M12,
16215,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2009M11,
16216,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2009M10,
16217,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2009M09,
16218,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2009M08,
16219,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2009M07,
16220,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2009M06,
16221,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2009M05,
16222,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2009M04,
16223,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2009M03,
16224,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2009M02,
16225,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2009M01,
16226,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2008M12,
16227,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2008M11,
16228,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2008M10,
16229,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2008M09,
16230,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2008M08,
16231,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2008M07,
16232,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2008M06,
16233,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2008M05,
16234,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2008M04,
16235,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2008M03,
16236,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2008M02,
16237,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2008M01,
16238,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2007M12,
16239,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2007M11,
16240,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2007M10,
16241,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2007M09,
16242,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2007M08,
16243,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2007M07,
16244,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2007M06,
16245,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2007M05,
16246,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2007M04,
16247,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2007M03,
16248,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2007M02,
16249,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2007M01,
16250,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2006M12,
16251,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2006M11,
16252,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2006M10,
16253,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2006M09,
16254,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2006M08,
16255,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2006M07,
16256,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2006M06,
16257,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2006M05,
16258,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2006M04,
16259,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2006M03,
16260,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2006M02,
16261,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2006M01,
16262,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2005M12,
16263,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2005M11,
16264,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2005M10,
16265,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2005M09,
16266,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2005M08,
16267,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2005M07,
16268,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2005M06,
16269,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2005M05,
16270,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2005M04,
16271,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2005M03,
16272,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2005M02,
16273,08270 Sitges,Pernoctaciones,Residentes en Espa̱a,2005M01,
16285,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2021M03,
16286,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2021M02,
16288,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2020M12,
16289,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2020M11,
16348,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2015M12,
16349,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2015M11,
16350,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2015M10,
16351,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2015M09,
16352,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2015M08,
16353,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2015M07,
16354,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2015M06,
16355,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2015M05,
16356,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2015M04,
16357,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2015M03,
16358,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2015M02,
16359,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2015M01,
16360,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2014M12,
16361,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2014M11,
16362,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2014M10,
16363,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2014M09,
16364,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2014M08,
16365,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2014M07,
16366,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2014M06,
16367,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2014M05,
16368,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2014M04,
16369,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2014M03,
16370,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2014M02,
16371,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2014M01,
16372,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2013M12,
16373,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2013M11,
16374,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2013M10,
16375,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2013M09,
16376,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2013M08,
16377,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2013M07,
16378,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2013M06,
16379,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2013M05,
16380,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2013M04,
16381,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2013M03,
16382,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2013M02,
16383,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2013M01,
16384,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2012M12,
16385,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2012M11,
16386,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2012M10,
16387,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2012M09,
16388,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2012M08,
16389,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2012M07,
16390,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2012M06,
16391,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2012M05,
16392,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2012M04,
16393,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2012M03,
16394,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2012M02,
16395,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2012M01,
16396,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2011M12,
16397,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2011M11,
16398,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2011M10,
16399,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2011M09,
16400,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2011M08,
16401,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2011M07,
16402,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2011M06,
16403,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2011M05,
16404,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2011M04,
16405,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2011M03,
16406,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2011M02,
16407,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2011M01,
16408,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2010M12,
16409,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2010M11,
16410,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2010M10,
16411,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2010M09,
16412,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2010M08,
16413,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2010M07,
16414,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2010M06,
16415,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2010M05,
16416,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2010M04,
16417,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2010M03,
16418,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2010M02,
16419,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2010M01,
16420,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2009M12,
16421,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2009M11,
16422,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2009M10,
16423,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2009M09,
16424,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2009M08,
16425,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2009M07,
16426,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2009M06,
16427,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2009M05,
16428,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2009M04,
16429,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2009M03,
16430,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2009M02,
16431,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2009M01,
16432,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2008M12,
16433,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2008M11,
16434,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2008M10,
16435,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2008M09,
16436,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2008M08,
16437,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2008M07,
16438,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2008M06,
16439,08270 Sitges,Pernoctaciones,Residentes en el Extranjero,2008M05,
